stock_code,stock_name,industry_code,peer_stock_codes,peer_stock_names,business_tags,sector,industry,business_model,source
010820,퍼스텍,284,012450|064350|079550|047810|272210|032820,한화에어로스페이스|현대로템|LIG디펜스앤에어로스페이스|한국항공우주|한화시스템|우리기술,software platform|aerospace,Information Technology,Software,Platform software and recurring services,NAVER_STOCK_INDUSTRY_COMPARE
010950,S-Oil,313,034730|096770|078930|006120|0001A0|128820,SK|SK이노베이션|GS|SK디스커버리|덕양에너젠|대성산업,energy|industrial machinery,Energy,Energy Infrastructure,Industrial machinery and equipment manufacturing,NAVER_STOCK_INDUSTRY_COMPARE
010960,삼호개발,279,000720|028050|047040|375500|006360|097230,현대건설|삼성E&A|대우건설|DL이앤씨|GS건설|HJ중공업,construction|industrial machinery,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",NAVER_STOCK_INDUSTRY_COMPARE
011000,진원생명과학,286,196170|950160|298380|087010|347850|145020,알테오젠|코오롱티슈진|에이비엘바이오|펩트론|디앤디파마텍|휴젤,biotech,Health Care,Biotechnology,Operating company,NAVER_STOCK_INDUSTRY_COMPARE
011040,경동제약,261,207940|068270|0126Z0|326030|000100|141080,삼성바이오로직스|셀트리온|삼성에피스홀딩스|SK바이오팜|유한양행|리가켐바이오,biotech|holding company,Health Care,Biotechnology,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
011070,LG이노텍,282,009150|353200|222800|020150|007810|098460,삼성전기|대덕전자|심텍|롯데에너지머티리얼즈|코리아써키트|고영,semiconductors|electrical equipment|energy,Information Technology,Semiconductors,Electrical equipment and components manufacturing,NAVER_STOCK_INDUSTRY_COMPARE
011080,형지I&C,274,111770|383220|081660|009970|093050|007700,영원무역|F&F|미스토홀딩스|영원무역홀딩스|LF|F&F홀딩스,holding company,Financials,Investment Holding Companies,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
011090,에넥스,303,009240|003800|016800|013890|079430|134790,한샘|에이스침대|퍼시스|지누스|현대리바트|시디즈,general listed company,General Listed Equity,Listed Operating Company,Operating company,NAVER_STOCK_INDUSTRY_COMPARE
011150,CJ씨푸드,268,003230|271560|097950|026960|004370|140410,삼양식품|오리온|CJ제일제당|동서|농심|메지온,food and beverage,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",NAVER_STOCK_INDUSTRY_COMPARE
011170,롯데케미칼,272,051910|003670|086520|011790|010060|014680,LG화학|포스코퓨처엠|에코프로|SKC|OCI홀딩스|한솔케미칼,chemicals|holding company,Materials,Specialty Chemicals,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
011200,HMM,323,028670|005880|003280|044450|067900|109070,팬오션|대한해운|흥아해운|KSS해운|와이엔텍|주성코퍼레이션,logistics,Industrials,Logistics and Transportation,"Logistics, shipping, and transportation services",NAVER_STOCK_INDUSTRY_COMPARE
011210,현대위아,270,012330|161390|018880|005850|204320|000240,현대모비스|한국타이어앤테크놀로지|한온시스템|에스엘|HL만도|한국앤컴퍼니,automotive|software platform,Consumer Discretionary,Automobiles,Platform software and recurring services,NAVER_STOCK_INDUSTRY_COMPARE
