stock_code,stock_name,stock_name_en,market,source_sector,source_industry,source_business_model,primary_peer_ticker,primary_peer_name,primary_peer_sector,primary_peer_industry,primary_peer_business_model,primary_peer_scale_bucket,similarity_score,confidence_score,confidence_level,financial_similarity_score,domain_match_level,financial_context,same_company_noise,matched_factors,headline,model_version,source
081940,아시아퍼시픽9호선박투자회사,아시아퍼시픽9호선박투자회사,KOSPI,Financials,Investment Holding Companies,Investment holding and portfolio management,INGM,Ingram Micro Holding,Financials,Investment Holding Companies,Investment holding and portfolio management,MID_CAP,0.4688,0.4688,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Investment Holding Companies. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=UNKNOWN, peer=MID_CAP. | Model similarity: blended peer score 0.4688.",아시아퍼시픽9호선박투자회사 Is South Korea's 'Ingram Micro Holding' — A Holding Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
081970,케이엑스넥스지,케이엑스넥스지,KOSPI,General Listed Equity,Listed Operating Company,Operating company,MCK,McKesson,General Listed Equity,Listed Operating Company,Operating company,LARGE_CAP,0.2097,0.2097,LOW,0.9252,generic_or_mismatch,us_market_relative_proxy,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (UNKNOWN vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 3.5% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.2097.",케이엑스넥스지 Is South Korea's 'McKesson' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082110,동북아8호선박투자회사,동북아8호선박투자회사,KOSPI,Financials,Investment Holding Companies,Investment holding and portfolio management,INGM,Ingram Micro Holding,Financials,Investment Holding Companies,Investment holding and portfolio management,MID_CAP,0.4688,0.4688,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Investment Holding Companies. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=UNKNOWN, peer=MID_CAP. | Model similarity: blended peer score 0.4688.",동북아8호선박투자회사 Is South Korea's 'Ingram Micro Holding' — A Holding Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082210,옵트론텍,옵트론텍,KOSPI,Information Technology,Semiconductors,Electrical equipment and components manufacturing,MEI,Methode Electronics,Information Technology,Semiconductors,Semiconductor manufacturing or supply chain,SMALL_CAP,0.4908,0.4908,MEDIUM,0.9994,industry,us_market_relative_proxy,False,"Sector: both are mapped to Information Technology. | Industry: both are mapped to Semiconductors. | Business model: source=Electrical equipment and components manufacturing, peer=Semiconductor manufacturing or supply chain. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 57.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.4908.",옵트론텍 Is South Korea's 'Methode Electronics' — A Semiconductors Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082220,프렉코,프렉코,KOSPI,General Listed Equity,Listed Operating Company,Operating company,SPGI.V,S&P Global . When-Issued,General Listed Equity,Listed Operating Company,Operating company,UNKNOWN,0.125,0.125,LOW,,generic_or_mismatch,not_available,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=UNKNOWN. | Model similarity: blended peer score 0.1250.",프렉코 Is South Korea's 'S&P Global . When-Issued' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082240,아시아퍼시픽5호선박투자회사,아시아퍼시픽5호선박투자회사,KOSPI,Financials,Investment Holding Companies,Investment holding and portfolio management,INGM,Ingram Micro Holding,Financials,Investment Holding Companies,Investment holding and portfolio management,MID_CAP,0.4688,0.4688,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Investment Holding Companies. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=UNKNOWN, peer=MID_CAP. | Model similarity: blended peer score 0.4688.",아시아퍼시픽5호선박투자회사 Is South Korea's 'Ingram Micro Holding' — A Holding Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082250,아시아퍼시픽6호선박투자회사,아시아퍼시픽6호선박투자회사,KOSPI,Financials,Investment Holding Companies,Investment holding and portfolio management,INGM,Ingram Micro Holding,Financials,Investment Holding Companies,Investment holding and portfolio management,MID_CAP,0.4688,0.4688,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Investment Holding Companies. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=UNKNOWN, peer=MID_CAP. | Model similarity: blended peer score 0.4688.",아시아퍼시픽6호선박투자회사 Is South Korea's 'Ingram Micro Holding' — A Holding Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082260,아시아퍼시픽7호선박투자회사,아시아퍼시픽7호선박투자회사,KOSPI,Financials,Investment Holding Companies,Investment holding and portfolio management,INGM,Ingram Micro Holding,Financials,Investment Holding Companies,Investment holding and portfolio management,MID_CAP,0.4688,0.4688,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Investment Holding Companies. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=UNKNOWN, peer=MID_CAP. | Model similarity: blended peer score 0.4688.",아시아퍼시픽7호선박투자회사 Is South Korea's 'Ingram Micro Holding' — A Holding Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082270,젬백스,젬백스,KOSPI,Information Technology,Semiconductors,Semiconductor manufacturing or supply chain,BHE,Benchmark Electronics,Information Technology,Semiconductors,Semiconductor manufacturing or supply chain,MID_CAP,0.6686,0.6686,MEDIUM,0.7915,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Information Technology. | Industry: both are mapped to Semiconductors. | Business model: both are mapped to Semiconductor manufacturing or supply chain. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.7915. | US peer-universe position: MID_CAP peer, around the top 33.7% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6686.",젬백스 Is South Korea's 'Benchmark Electronics' — A Semiconductors Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082390,피엘에이,피엘에이,KOSPI,General Listed Equity,Listed Operating Company,Operating company,SPGI.V,S&P Global . When-Issued,General Listed Equity,Listed Operating Company,Operating company,UNKNOWN,0.125,0.125,LOW,,generic_or_mismatch,not_available,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=UNKNOWN. | Model similarity: blended peer score 0.1250.",피엘에이 Is South Korea's 'S&P Global . When-Issued' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
