stock_code,stock_name,stock_name_en,market,source_sector,source_industry,source_business_model,primary_peer_ticker,primary_peer_name,primary_peer_sector,primary_peer_industry,primary_peer_business_model,primary_peer_scale_bucket,similarity_score,confidence_score,confidence_level,financial_similarity_score,domain_match_level,financial_context,same_company_noise,matched_factors,headline,model_version,source
000010,신한은행,신한은행,KOSPI,Financials,Banks,"Banking, spread income, fees, and capital-market services",USB,U.S. Bancorp,Financials,Banks,"Banking, spread income, fees, and capital-market services",LARGE_CAP,0.7545,0.7545,HIGH,0.6915,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Banks. | Business model: both are mapped to Banking, spread income, fees, and capital-market services. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.6915. | US peer-universe position: LARGE_CAP peer, around the top 3.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7545.",신한은행 Is South Korea's 'U.S. Bancorp' — A Banking Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000020,동화약품,동화약품,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,SEM,Select Medical Holdings,Health Care,Biotechnology,Investment holding and portfolio management,MID_CAP,0.6819,0.6819,MEDIUM,0.9959,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MICRO_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 41.0% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6819.",동화약품 Is South Korea's 'Select Medical Holdings' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000030,우리은행,우리은행,KOSPI,Financials,Banks,"Banking, spread income, fees, and capital-market services",USB,U.S. Bancorp,Financials,Banks,"Banking, spread income, fees, and capital-market services",LARGE_CAP,0.7545,0.7545,HIGH,0.6916,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Banks. | Business model: both are mapped to Banking, spread income, fees, and capital-market services. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.6916. | US peer-universe position: LARGE_CAP peer, around the top 3.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7545.",우리은행 Is South Korea's 'U.S. Bancorp' — A Banking Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000040,KR모터스,KR모터스,KOSPI,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,F,Ford Motor,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,LARGE_CAP,0.587,0.587,MEDIUM,0.9997,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Discretionary. | Industry: both are mapped to Automobiles. | Business model: both are mapped to Automobile manufacturing and mobility supply chain. | Scale: source=MICRO_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 5.8% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.5870.",KR모터스 Is South Korea's 'Ford Motor' — A Automotive Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000050,경방,경방,KOSPI,Financials,Investment Holding Companies,Investment holding and portfolio management,BXC,Bluelinx Holdings,Financials,Investment Holding Companies,Investment holding and portfolio management,SMALL_CAP,0.7302,0.7302,HIGH,0.9995,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Investment Holding Companies. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 62.2% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7302.",경방 Is South Korea's 'Bluelinx Holdings' — A Holding Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000060,메리츠화재해상보험,메리츠화재해상보험,KOSPI,Financials,Insurance,Insurance underwriting and financial services,NP,Neptune Insurance Holdings . Class A,Financials,Insurance,Insurance underwriting and financial services,MID_CAP,0.7355,0.7355,HIGH,0.9085,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Insurance. | Business model: both are mapped to Insurance underwriting and financial services. | Scale: source=UNKNOWN, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (UNKNOWN vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 30.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7355.",메리츠화재해상보험 Is South Korea's 'Neptune Insurance Holdings . Class A' — A Insurance Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000070,삼양홀딩스,삼양홀딩스,KOSPI,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,EMN,Eastman Chemical,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,MID_CAP,0.6992,0.6992,MEDIUM,0.775,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Materials. | Industry: both are mapped to Specialty Chemicals. | Business model: both are mapped to Chemical and advanced materials manufacturing. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.7750. | US peer-universe position: MID_CAP peer, around the top 21.5% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6992.",삼양홀딩스 Is South Korea's 'Eastman Chemical' — A Chemicals Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000080,하이트진로,하이트진로,KOSPI,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",FIZZ,National Beverage,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",MID_CAP,0.8546,0.8546,HIGH,0.9996,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Staples. | Industry: both are mapped to Food and Beverage. | Business model: both are mapped to Packaged food, beverage, and consumer staples. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 35.8% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.8546.",하이트진로 Is South Korea's 'National Beverage' — A Food And Beverage Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000100,유한양행,유한양행,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,ZBH,Zimmer Biomet Holdings,Health Care,Biotechnology,Investment holding and portfolio management,LARGE_CAP,0.7533,0.7533,HIGH,0.9998,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MID_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MID_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 12.9% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7533.",유한양행 Is South Korea's 'Zimmer Biomet Holdings' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000110,한국스탠다드차타드은행,한국스탠다드차타드은행,KOSPI,Financials,Banks,"Banking, spread income, fees, and capital-market services",USB,U.S. Bancorp,Financials,Banks,"Banking, spread income, fees, and capital-market services",LARGE_CAP,0.7539,0.7539,HIGH,0.6885,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Banks. | Business model: both are mapped to Banking, spread income, fees, and capital-market services. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.6885. | US peer-universe position: LARGE_CAP peer, around the top 3.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7539.",한국스탠다드차타드은행 Is South Korea's 'U.S. Bancorp' — A Banking Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000120,CJ대한통운,CJ대한통운,KOSPI,Industrials,Logistics and Transportation,Investment holding and portfolio management,KNX,Knight-Swift Transportation Holdings,Industrials,Logistics and Transportation,Investment holding and portfolio management,LARGE_CAP,0.7808,0.7808,HIGH,0.9991,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Logistics and Transportation. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=SMALL_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 16.1% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7808.",CJ대한통운 Is South Korea's 'Knight-Swift Transportation Holdings' — A Logistics Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000140,하이트진로홀딩스,하이트진로홀딩스,KOSPI,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",LWAY,Lifeway Foods,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",SMALL_CAP,0.849,0.849,HIGH,0.9985,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Staples. | Industry: both are mapped to Food and Beverage. | Business model: both are mapped to Packaged food, beverage, and consumer staples. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 62.8% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.8490.",하이트진로홀딩스 Is South Korea's 'Lifeway Foods' — A Food And Beverage Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000150,두산,두산,KOSPI,Industrials,Machinery and Industrial Equipment,Industrial machinery and equipment manufacturing,REXR,Rexford Industrial Realty,Industrials,Machinery and Industrial Equipment,Industrial machinery and equipment manufacturing,MID_CAP,0.8067,0.8067,HIGH,0.9988,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Machinery and Industrial Equipment. | Business model: both are mapped to Industrial machinery and equipment manufacturing. | Scale: source=LARGE_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (LARGE_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 21.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.8067.",두산 Is South Korea's 'Rexford Industrial Realty' — A Industrial Machinery Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000180,성창기업지주,성창기업지주,KOSPI,Industrials,Machinery and Industrial Equipment,"Metals, materials, and industrial inputs",TITN,Titan Machinery,Industrials,Machinery and Industrial Equipment,Industrial machinery and equipment manufacturing,SMALL_CAP,0.5414,0.5414,MEDIUM,0.5571,industry,partial_direct_similarity,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Machinery and Industrial Equipment. | Business model: source=Metals, materials, and industrial inputs, peer=Industrial machinery and equipment manufacturing. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.5571. | US peer-universe position: SMALL_CAP peer, around the top 62.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.5414.",성창기업지주 Is South Korea's 'Titan Machinery' — A Industrial Machinery Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
0001A0,덕양에너젠,덕양에너젠,KOSPI,Energy,Energy Infrastructure,Industrial machinery and equipment manufacturing,OIS,Oil States International,Energy,Energy Infrastructure,Operating company,SMALL_CAP,0.6701,0.6701,MEDIUM,0.9999,industry,us_market_relative_proxy,False,"Sector: both are mapped to Energy. | Industry: both are mapped to Energy Infrastructure. | Business model: source=Industrial machinery and equipment manufacturing, peer=Operating company. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 62.4% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6701.",덕양에너젠 Is South Korea's 'Oil States International' — A Energy Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000210,DL,DL,KOSPI,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,EMN,Eastman Chemical,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,MID_CAP,0.7364,0.7364,HIGH,0.7919,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Materials. | Industry: both are mapped to Specialty Chemicals. | Business model: both are mapped to Chemical and advanced materials manufacturing. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.7919. | US peer-universe position: MID_CAP peer, around the top 21.5% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7364.",DL Is South Korea's 'Eastman Chemical' — A Chemicals Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000220,유유제약,유유제약,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,SEM,Select Medical Holdings,Health Care,Biotechnology,Investment holding and portfolio management,MID_CAP,0.6731,0.6731,MEDIUM,1.0,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MICRO_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 41.0% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6731.",유유제약 Is South Korea's 'Select Medical Holdings' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000230,일동홀딩스,일동홀딩스,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,SEM,Select Medical Holdings,Health Care,Biotechnology,Investment holding and portfolio management,MID_CAP,0.6536,0.6536,MEDIUM,0.9998,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MICRO_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 41.0% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6536.",일동홀딩스 Is South Korea's 'Select Medical Holdings' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000240,한국앤컴퍼니,한국앤컴퍼니,KOSPI,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,GPI,Group 1 Automotive,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,MID_CAP,0.7617,0.7617,HIGH,0.9993,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Discretionary. | Industry: both are mapped to Automobiles. | Business model: both are mapped to Automobile manufacturing and mobility supply chain. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 33.1% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7617.",한국앤컴퍼니 Is South Korea's 'Group 1 Automotive' — A Automotive Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000250,삼천당제약,삼천당제약,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,ZBH,Zimmer Biomet Holdings,Health Care,Biotechnology,Investment holding and portfolio management,LARGE_CAP,0.7511,0.7511,HIGH,0.9981,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MID_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MID_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 12.9% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7511.",삼천당제약 Is South Korea's 'Zimmer Biomet Holdings' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000270,기아,기아,KOSPI,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,ALV,Autoliv,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,MID_CAP,0.7972,0.7972,HIGH,1.0,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Discretionary. | Industry: both are mapped to Automobiles. | Business model: both are mapped to Automobile manufacturing and mobility supply chain. | Scale: source=LARGE_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (LARGE_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 20.2% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7972.",기아 Is South Korea's 'Autoliv' — A Automotive Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000300,DH오토넥스,DH오토넥스,KOSPI,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,GPI,Group 1 Automotive,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,MID_CAP,0.746,0.746,HIGH,0.9987,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Discretionary. | Industry: both are mapped to Automobiles. | Business model: both are mapped to Automobile manufacturing and mobility supply chain. | Scale: source=MICRO_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 33.1% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7460.",DH오토넥스 Is South Korea's 'Group 1 Automotive' — A Automotive Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000320,노루홀딩스,노루홀딩스,KOSPI,Materials,Metals and Materials,"Metals, materials, and industrial inputs",FLXS,Flexsteel Industries,Materials,Metals and Materials,"Metals, materials, and industrial inputs",SMALL_CAP,0.7518,0.7518,HIGH,0.9985,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Materials. | Industry: both are mapped to Metals and Materials. | Business model: both are mapped to Metals, materials, and industrial inputs. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 65.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7518.",노루홀딩스 Is South Korea's 'Flexsteel Industries' — A Materials Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000360,삼환기업,삼환기업,KOSPI,General Listed Equity,Listed Operating Company,Operating company,SPGI.V,S&P Global . When-Issued,General Listed Equity,Listed Operating Company,Operating company,UNKNOWN,0.125,0.125,LOW,,generic_or_mismatch,not_available,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=UNKNOWN. | Model similarity: blended peer score 0.1250.",삼환기업 Is South Korea's 'S&P Global . When-Issued' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000370,한화손해보험,한화손해보험,KOSPI,Financials,Insurance,Insurance underwriting and financial services,NP,Neptune Insurance Holdings . Class A,Financials,Insurance,Insurance underwriting and financial services,MID_CAP,0.8009,0.8009,HIGH,0.9982,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Insurance. | Business model: both are mapped to Insurance underwriting and financial services. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 30.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.8009.",한화손해보험 Is South Korea's 'Neptune Insurance Holdings . Class A' — A Insurance Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000380,대아건설,대아건설,KOSPI,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",BLDR,Builders FirstSource,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",MID_CAP,0.5799,0.5799,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Construction and Engineering. | Business model: both are mapped to Construction, engineering, and infrastructure projects. | Scale: source=UNKNOWN, peer=MID_CAP. | Model similarity: blended peer score 0.5799.",대아건설 Is South Korea's 'Builders FirstSource' — A Construction Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000390,SP삼화,SP삼화,KOSPI,Materials,Metals and Materials,"Metals, materials, and industrial inputs",FLXS,Flexsteel Industries,Materials,Metals and Materials,"Metals, materials, and industrial inputs",SMALL_CAP,0.737,0.737,HIGH,0.9993,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Materials. | Industry: both are mapped to Metals and Materials. | Business model: both are mapped to Metals, materials, and industrial inputs. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 65.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7370.",SP삼화 Is South Korea's 'Flexsteel Industries' — A Materials Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000400,롯데손해보험,롯데손해보험,KOSPI,Financials,Insurance,Insurance underwriting and financial services,THG,Hanover Insurance Group,Financials,Insurance,Insurance underwriting and financial services,MID_CAP,0.8088,0.8088,HIGH,0.9999,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Insurance. | Business model: both are mapped to Insurance underwriting and financial services. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 21.8% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.8088.",롯데손해보험 Is South Korea's 'Hanover Insurance Group' — A Insurance Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000420,로케트전기,로케트전기,KOSPI,Industrials,Electrical Equipment,Electrical equipment and components manufacturing,EMR,Emerson Electric,Industrials,Electrical Equipment,Electrical equipment and components manufacturing,LARGE_CAP,0.6766,0.6766,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Electrical Equipment. | Business model: both are mapped to Electrical equipment and components manufacturing. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Model similarity: blended peer score 0.6766.",로케트전기 Is South Korea's 'Emerson Electric' — A Electrical Equipment Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000430,대원강업,대원강업,KOSPI,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,GPI,Group 1 Automotive,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,MID_CAP,0.7242,0.7242,HIGH,1.0,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Discretionary. | Industry: both are mapped to Automobiles. | Business model: both are mapped to Automobile manufacturing and mobility supply chain. | Scale: source=MICRO_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 33.1% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7242.",대원강업 Is South Korea's 'Group 1 Automotive' — A Automotive Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000440,중앙에너비스,중앙에너비스,KOSPI,Energy,Energy Infrastructure,Operating company,SXC,SunCoke Energy,Energy,Energy Infrastructure,Operating company,SMALL_CAP,0.6193,0.6193,MEDIUM,0.9994,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Energy. | Industry: both are mapped to Energy Infrastructure. | Business model: both are mapped to Operating company. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 57.4% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6193.",중앙에너비스 Is South Korea's 'SunCoke Energy' — A Energy Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
